,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,title,variety,winery
81853,81853,US,"A rich, satisfying Cabernet, packed with blackberry, cherry and mocha flavors, with a touch of herbs and mint. Not quite as dense or concentrated as the winery's mountain-appellated Cabs, but quite a good one.",,90,40.0,California,Napa Valley,Napa,Atlas Peak 2005 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Atlas Peak
87071,87071,Italy,"Prail is a crisp, fresh and beautifully aromatic Sauvignon from northern Italy that delivers layers of passion fruit, citrus, tomato leaf and chopped basil. Drink this wine before dinner or with fragrant exotic Thai dishes.",Prail,88,25.0,Northeastern Italy,Alto Adige,,Colterenzio 2010 Prail Sauvignon (Alto Adige),Sauvignon,Colterenzio
84229,84229,US,"Cut lime and nectarine flesh meet with orange oil on a lean and focused nose in this wine by Paso pioneer Gary Eberle. The palate is framed by racy acidity, with clean, crisp flavors of lime juice and green pear. The salty finish is mouthwatering.",Eberle Estate Vineyard,88,22.0,California,Paso Robles,Central Coast,Eberle 2014 Eberle Estate Vineyard Chardonnay (Paso Robles),Chardonnay,Eberle
110676,110676,US,"This wine is big and beefy, full bodied and packed with meaty, spicy, cedary aromas and flavors that are well matched to its bold structure. Made from Spanish grape varieties, it has a fun bold flavor profile, good and grippy tannins and very good balance for a wine this powerful.",Paradiso,90,38.0,California,California,California Other,Dante Robere NV Paradiso Red (California),Red Blend,Dante Robere
86132,86132,Italy,"This ripe, juicy wine opens with yellow stone fruit, Spanish broom and faint nut aromas. The medium-bodied palate doles out ripe Golden Delicious apple and mature Bartlett pear flavors, while a pleasant bitter almond note backs up the finish.",,90,16.0,Northeastern Italy,Collio,,Gradis'ciutta 2015 Friulano (Collio),Friulano,Gradis'ciutta
18731,18731,France,"This is Gremillet's prestige cuvée, made as a Chardonnay Blanc de Blancs. It's rich, creamy and mineral-textured with a steely, chalky edge. Great acidity is layered with the fruitiness of this now-mature wine. Ready to drink, it's lively and crisp.",Cuvée Evidence Brut,91,59.0,Champagne,Champagne,,Gremillet NV Cuvée Evidence Brut Chardonnay (Champagne),Chardonnay,Gremillet
55992,55992,Italy,"This single-vineyard bottling opens with aromas of fragrant white flower, yellow stone fruit, dried herb and a whiff of tropical fruit. The concentrated, elegantly structured palate delivers creamy white peach, mature apple, crystallized ginger and mineral. Fresh acidity lifts the rich flavors while an almond note closes the lingering finish.",Selva,92,35.0,Lombardy,Lugana,,Selva Capuzza 2015 Selva  (Lugana),Turbiana,Selva Capuzza
87512,87512,US,"A fine Zin, rich and sweet in raspberries and cherries, with spicy notes of cinnamon, pepper and Chinese Five-spice. It's a lusty, delicious wine for drinking now with beef, pork, chicken or even a veggie lasagna.",Old Vine,87,16.0,California,California,California Other,XYZin 2011 Old Vine Zinfandel (California),Zinfandel,XYZin
42589,42589,US,"Hats off to Beaulieu for producing a Pinot Noir this good. The wine is dry, silky and crisp in acidity, with cherry, cola, spice and sandalwood flavors. With more than 100,000 cases released, this should be relatively easy to find.",Coastal Estates,86,11.0,California,California,California Other,Beaulieu Vineyard 2010 Coastal Estates Pinot Noir (California),Pinot Noir,Beaulieu Vineyard
37179,37179,US,"Run, don't walk, to find this Sauvignon Blanc. It's delicious, and available for such a great price! The palate treads an exciting line between ripe peach, citrus, green apple and honey flavors, and a tangy, flinty minerality. The acidity is mouthwatering. Only 550 cases were produced, but it's worth a search.",Nelson Vineyards,91,16.0,California,Dry Creek Valley,Sonoma,El Roy 2012 Nelson Vineyards Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,El Roy
87940,87940,US,"Predominately made with La Crescent, a hybrid grape with Muscat heritage, this sparkling wine brings exotic notes of lychee and rose over muddled pear flavors. The aggressive bubbles do little to cover the sugary-sweet finish.",Stereo,84,32.0,Illinois,Illinois,,Illinois Sparkling Co. NV Stereo Sparkling (Illinois),Sparkling Blend,Illinois Sparkling Co.
33692,33692,US,"Harvested on the night of the new moon (hence the name); this was aged in one-year-old French oak. The fruit stands out, striking for its dense purple shade, its meaty undertones and its pretty purity. It's overlaid with big barrel flavors of caramel and toast—delicious, but dominant. Let it breathe!",New Moon,91,35.0,Washington,Horse Heaven Hills,Columbia Valley,Reasons 2008 New Moon Syrah (Horse Heaven Hills),Syrah,Reasons
57338,57338,US,This is a fruity Merlot with a strong lemony streak. There are hints of pepper as well. Drink soon.,,85,27.0,Washington,Wahluke Slope,Columbia Valley,Tildio 2009 Merlot (Wahluke Slope),Merlot,Tildio
111269,111269,Italy,"Here's an oak-driven Brunello that needs time to evolve—give it five years or more. Glimmers of bright fruit emerge despite the presence of toasted almond, cedar wood and vanilla extract. The wine is concentrated with soft tannins and a lovely rich feel in the mouth.",,92,40.0,Tuscany,Brunello di Montalcino,,Mocali 2007  Brunello di Montalcino,Sangiovese Grosso,Mocali
99809,99809,US,"The aromas bring notes of dried herb, vanilla bean, wood spice and black cherry. The flavors are rich and luscious, supported by plump ripe tannins. The finish lingers.",,91,45.0,Washington,Columbia Valley (WA),Columbia Valley,Abeja 2014 Merlot (Columbia Valley (WA)),Merlot,Abeja
126694,126694,France,"Tight green apple and citrus acidity dominates this wine. It is very crisp, at this stage too crisp, and the structure is on the lean side. It certainly reflects the cool growing conditions of 2007.",Côte de Léchet Premier Cru,85,47.0,Burgundy,Chablis,,Domaine Pommier 2007 Côte de Léchet Premier Cru  (Chablis),Chardonnay,Domaine Pommier
50252,50252,Australia,"From 53-year-old organic and biodynamically farmed Grenache vines, this elegant wine could easily age for 10 years but is drinkable now. Bursting with red cherries, strawberries, herbs, vanilla and violets, the palate's ultrafine tannins are backed by juicy fruit and a long, herbal, cranberry finish.",Warboy's Vineyard,93,75.0,South Australia,McLaren Vale,,Angove 2015 Warboy's Vineyard Grenache (McLaren Vale),Grenache,Angove
31300,31300,US,"Aromatic and highly textural. The wine brings out a lot of citrus rind, tart stone fruits, and leesy texture. There's plenty of acid and hints of an underlying minerality with no hot alcohol burn. Just a little hint of stem in the tannins.",,90,20.0,Washington,Yakima Valley,Columbia Valley,Dusted Valley 2006 Viognier (Yakima Valley),Viognier,Dusted Valley
45430,45430,US,"This is brimming with the tropical fruit, vanilla and honeysuckle flavors typical of Viognier. Dry and elegant, it is ripe, but shows the acidity from the cool 2010 vintage.",Birdsong,91,20.0,California,Happy Canyon of Santa Barbara,Central Coast,Vogelzang 2010 Birdsong Viognier (Happy Canyon of Santa Barbara),Viognier,Vogelzang
24998,24998,France,"This is an attractively crisp, citrus-flavored wine. With lime and ripe apple fruits, the tangy texture bursts with freshness. The wine is ready to drink.",,87,20.0,Burgundy,Saint-Véran,,Vins Auvigue 2014  Saint-Véran,Chardonnay,Vins Auvigue
119636,119636,US,"Production was 10,000 cases, amazing when you consider how good this mountain wine is. Immediately drinkable for the soft purity of the tannins and complex cassis, chocolate and oak flavors, it has the sturdy structure to develop for some years, but is best now for its elegant purity. Hess is on a real Cabernet roll, and is one of Napa's overlooked stars.",Estate Grown,92,50.0,California,Mount Veeder,Napa,Hess Collection 2004 Estate Grown Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Hess Collection
40369,40369,US,"Pinot Noir specialist Norm Yost hits the varietal's geeky purists with a straight clonal take, pulling just Clone 2A to deliver this wine. The nose is lighter, with cranberry, leather, butter, vanilla and root beer aromas. Meanwhile the palate is stronger—soft but a tad tannic on entry, with licorice and charred pepper steak on the finish. Equally elegant and forceful.",Rio Vista Vineyard Clone 2A,91,42.0,California,Sta. Rita Hills,Central Coast,Flying Goat Cellars 2010 Rio Vista Vineyard Clone 2A Pinot Noir (Sta. Rita Hills),Pinot Noir,Flying Goat Cellars
74252,74252,US,"While the notes of raspberry jam, plum and herbs bring plenty of appeal, it's the velvety soft, plush texture that truly dazzles on this fresh, fruit-filled wine that has a high yum factor.",the Imagination Series No. 1 Scorched Earth Vineyard,93,42.0,Washington,Columbia Valley (WA),Columbia Valley,Dominio IV 2012 the Imagination Series No. 1 Scorched Earth Vineyard Grenache-Syrah (Columbia Valley (WA)),Grenache-Syrah,Dominio IV
88119,88119,Italy,"Aromas of baked plum, chopped mint, espresso and toasted oak lead the nose. The chewy palate doles out cherries marinated in spirits, raspberry jam, star anise, mocha and white pepper alongside big, velvety tannins. It's already extremely accessible and while it's not loaded with complexity, it is hearty and delicious. Drink 2017–2022.",Ciliegio,90,140.0,Tuscany,Brunello di Montalcino,,La Magia 2011 Ciliegio  (Brunello di Montalcino),Sangiovese,La Magia
56773,56773,Italy,"Wild flowers, stone fruit and citrus mark the nose of this very characteristic Prosecco bubbly. Pretty mineral notes fill in the background and the wine manages to be drying in the mouth and slightly sweet at the same time. This sparkler shows a deft hand when it comes to elegance and balance.",Particella 68 Extra Dry,90,24.0,Veneto,Prosecco di Valdobbiadene,,Sorelle Bronca NV Particella 68 Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Sorelle Bronca
91893,91893,US,"Muted aromas of red currant, raspberry and baking spice comes forth more on the structured palate. Flavors also evoke something woody and tobacco like, with hints of cinnamon.",Boxwood,86,29.0,Virginia,Middleburg,,Boxwood 2014 Boxwood Red (Middleburg),Bordeaux-style Red Blend,Boxwood
14490,14490,US,"Leathery cedar and ripe, almost baked blackberry and blueberry commingle in this generously tannic wine, which has a note of bitterness at its end.",,84,20.0,California,Sonoma County,Sonoma,St. Francis 2012 Merlot (Sonoma County),Merlot,St. Francis
72116,72116,US,"Superextracted in jammy fruit, this Bordeaux blend has flavors of cherries, blackberries, licorice, mocha and peppery spices. It's very rich, and probably at its best now and for a couple of years.",Devils' Peak,86,50.0,California,Napa Valley,Napa,Terlato 2005 Devils' Peak Red (Napa Valley),Bordeaux-style Red Blend,Terlato
55830,55830,France,The wine is light and crisp with lemon acidity and with a zesty bright texture. There is a touch of minerality and a clean lively aftertaste. Drink now.,Domaine de la Grenaudière Sur Lie,87,10.0,Loire Valley,Muscadet Sèvre et Maine,,Ollivier Frères 2016 Domaine de la Grenaudière Sur Lie  (Muscadet Sèvre et Maine),Melon,Ollivier Frères
129698,129698,US,"It's hard to find any Tannat in California— let alone good Tannat—and Sobon has done a nice job here, combining leather and boysenberry fruit to good effect. In the back layers is a trace of menthol.",ReZerve,87,24.0,California,Lodi,Central Valley,Sobon Estate 2010 ReZerve Tannat (Lodi),Tannat,Sobon Estate
50810,50810,France,"This is a bright star in Olivier Leflaive's firmament, a wondrous big, rich wine that is just so finely poised. The structure is dense, rich, fat and full-bodied, a hymn to ripe fruit. Flavors are fruit-driven at this stage, but this is a wine that will develop over many years, if you can resist the urge to indulge its luxuriant tastes now.",,95,310.0,Burgundy,Bâtard-Montrachet,,Olivier Leflaive 2006  Bâtard-Montrachet,Chardonnay,Olivier Leflaive
3902,3902,Italy,"Gold with copper hues, this opens with aromas of wildflower, tangerine zest and a whiff of crushed stone. The vibrant palate offers rennet apple, lime, ginger drop and a hint of mineral alongside mouthwatering acidity.",Santa Lucia,87,16.0,Northeastern Italy,Collio,,Primosic 2014 Santa Lucia Pinot Grigio (Collio),Pinot Grigio,Primosic
22485,22485,US,"This is stiff and herbal, both in scents and flavors. There's a strong streak of earth dampening the light cranberry fruit. The aging in two third new French oak adds a bit of chocolate to the finish.",Latitude 45,86,35.0,Oregon,Willamette Valley,Willamette Valley,Left Coast Cellars 2011 Latitude 45 Pinot Noir (Willamette Valley),Pinot Noir,Left Coast Cellars
9270,9270,US,"An ode to the founding fathers, this bottling is quite tight on the nose, with lime skin, lime blossom and Meyer-lemon juice aromas. The palate offers apple skins, crisp apple flesh, lemon-tinged butter, grapefruit zest and a shaving of vanilla.",,86,18.0,California,Santa Barbara County,Central Coast,The Federalist 2014 Chardonnay (Santa Barbara County),Chardonnay,The Federalist
44113,44113,Italy,"A reasonably full-bodied Soave, with delicate aromas of acacia blossoms and limes giving way to sturdy pear flavors. The lemony finish will seem shrill to some, pleasantly cleansing to others.",Tufaie,84,8.0,Veneto,Soave Classico Superiore,,Bolla 2000 Tufaie  (Soave Classico Superiore),White Blend,Bolla
63633,63633,US,"The single-vineyard experts at Testarossa hit a homerun with this wine from a famed property. Aromas of 7-Up, recent rains and minerality kick off a refreshing experience, which is powered by a strong flavor combination of very ripe fruit (à la traditional California Chardonnay), barrel-related vanilla and brisk, lingering acidity (à la Old World).",La Rinconada Vineyard,93,45.0,California,Sta. Rita Hills,Central Coast,Testarossa 2012 La Rinconada Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,Testarossa
61220,61220,US,"Blackberry, tobacco, dark chocolate, currant and spice flavors mark this dry, tannic blend. It has furry tannins and a briary mouthfeel that make it somewhat rustic. Give it a long decant before drinking now.",Nobile,87,45.0,California,Dry Creek Valley,Sonoma,Montemaggiore 2009 Nobile Cabernet Sauvignon-Syrah (Dry Creek Valley),Cabernet Sauvignon-Syrah,Montemaggiore
107951,107951,US,"This Merlot tastes hotter than than its official alcohol. A jalapeño pepper heat seems to accentuate the ripeness, so that raisins and prunes star. It's a robust, somewhat rustic wine of limited ageability, but it will pair well with strongly flavored, spicy beef stews and barbecue.",Heller Vineyard,86,36.0,California,Sonoma County,Sonoma,Phipps 2010 Heller Vineyard Merlot (Sonoma County),Merlot,Phipps
111292,111292,Italy,"This straightforward red has aromas of woodland berries and violets. The simple palate offers up sour cherry, a hint of grilled herb and a saline note alongside brisk acidity and angular tannins.",,86,29.0,Tuscany,Rosso di Montalcino,,Carillon 2014  Rosso di Montalcino,Sangiovese,Carillon
65654,65654,Italy,"Aromas of black-skinned berry marinated in spirits, dark spice, chopped herb and a balsamic note emerge in the glass. The robust assertive palate offers dried sour cherry, powdered sage and star anise alongside a backbone of bracing, mouth-drying tannins that grip the finish. Give this a few more years to soften, then drink up to capture the remaining fruit.",Poggio al Granchio,89,99.0,Tuscany,Brunello di Montalcino,,Val di Suga 2010 Poggio al Granchio  (Brunello di Montalcino),Sangiovese,Val di Suga
72828,72828,US,"Mauve in color, this cold-fermented pink wine shows crystallized watermelon, effervescent pink lemonade and berry-lime sangria elements on the nose. It's very flavorful once sipped, with pomegranate and rose petal notes, proving ripe and tasty yet not overdone.",Estate Vineyards Rosé of,89,18.0,California,Santa Barbara County,Central Coast,Lucas & Lewellen 2014 Estate Vineyards Rosé of Pinot Noir (Santa Barbara County),Pinot Noir,Lucas & Lewellen
48109,48109,US,Herb and barrel spice aromas lead to plump cherry and cranberry flavors. The tannins bring some grip.,Shya Red,89,40.0,Washington,Columbia Valley (WA),Columbia Valley,Pomum 2013 Shya Red Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Pomum
117560,117560,US,"The oak (40% new Hungarian and American) brings a sense of spiciness to the aromas, which also display notes of dill and plum. Flavors show weight and intensity, with citric acidity drawing out the finish.",,88,38.0,Washington,Columbia Valley (WA),Columbia Valley,Cave B 2012 Malbec (Columbia Valley (WA)),Malbec,Cave B
51574,51574,US,"This is nice and soft, with ripe red-cherry and spice flavors. There's an herbal, earthy dustiness that's appealing. The fruit has a delicious sweetness that makes it ideal for pairing with charred meats.",Jones Vineyard,90,45.0,California,Dry Creek Valley,Sonoma,Merriam 2008 Jones Vineyard Cabernet Franc (Dry Creek Valley),Cabernet Franc,Merriam
30141,30141,US,"This is a rewarding wine, with flavors of orange and pineapple. It finishes with a honeyed minerality.",,87,17.0,California,Central Coast,Central Coast,Wild Horse 2010 Chardonnay (Central Coast),Chardonnay,Wild Horse
10727,10727,Canada,"Dark and silky, this bursts open with ripe plum and black cherry fruit. Streaks of smoke and iron run through, along with highlights of bright citrus. Sweet toast and dark chocolate flavors wrap up a long and most satisfying finish. Drink now through 2024.",Estate Grown,92,65.0,British Columbia,Okanagan Valley,,Painted Rock 2010 Estate Grown Syrah (Okanagan Valley),Syrah,Painted Rock
36710,36710,Spain,"A little bit off balance, with mild compost and earth on the nose giving way to an angular palate with pointed acids along with flavors of zesty berries and red apple skins.",Crianza,84,21.0,Northern Spain,Rioja,,Dios Ares 2004 Crianza  (Rioja),Tempranillo Blend,Dios Ares
79885,79885,US,"This wine is both reduced and diluted, with astringency biting at its heels. It may simply be underripe.",,83,33.0,California,Napa Valley,Napa,Textbook 2014 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Textbook
108114,108114,Spain,"Fresh berry and cherry aromas come with a pinch of lemon and also a rose note. It has a tangy, fresh feel and snappy, semitart flavors of red plum and raspberry. Limited and short on the finish, but zesty all the way through.",,86,13.0,Galicia,Monterrei,,Atalaya do Mar 2010 Mencía (Monterrei),Mencía,Atalaya do Mar
34695,34695,France,"A concentrated wine from 40-year-old vines, this is rich and dense. It has a balance between the juicy black fruits and firm tannins, the whole shot through with acidity. Drink this fine single vineyard wine from 2019.",Closerie des Alisiers Les Champs Rémy,92,52.0,Burgundy,Gevrey-Chambertin,,Maison Stéphane Brocard 2014 Closerie des Alisiers Les Champs Rémy  (Gevrey-Chambertin),Pinot Noir,Maison Stéphane Brocard
54151,54151,US,"An everyday Zin, soft and candied, with blackberry, cherry, licorice and cocoa flavors. The tannin structure is rich. Drink now.",,83,13.0,California,Sonoma County,Sonoma,Leaping Lizard 2007 Zinfandel (Sonoma County),Zinfandel,Leaping Lizard
54993,54993,US,"This is a blend of Cabernet Sauvignon and Zinfandel. Zin provides the fuel to power the wine, while Cab lends elegance and structure. The flavors are a composite of both grapes, explosive in blackberries, currants, mocha, pepper and charcuterie.",C Blend,90,52.0,California,Napa Valley,Napa,Paraduxx 2010 C Blend Red (Napa Valley),Red Blend,Paraduxx
61030,61030,US,"A sound, rather generic red wine, medium- to full-bodied, with sleek tannins framing jammy cherry and raspberry flavors. Pretty good for the price, and easy to find, with 42,000 cases produced.",,84,10.0,California,California,California Other,McManis 2010 Merlot (California),Merlot,McManis
107540,107540,France,"While there is a youthful stalky element to this wine, it also has plenty of ripe black-cherry fruit. That suggests a warm ripe future as the tannins soften. Drink this potentially rich, spicy wine from 2019.",Tradition,88,25.0,Loire Valley,Menetou-Salon,,Isabelle et Pierre Clément 2015 Tradition  (Menetou-Salon),Pinot Noir,Isabelle et Pierre Clément
76127,76127,US,"A blend of all five red Bordeaux varieties, with Cabernet Sauvignon the largest percentage, this is a soft, approachable and juicy wine. The cassis and herbal components are pleasantly in balance and restrained on the palate.",Five Sisters Blend,88,38.0,California,Alexander Valley,Sonoma,J. Rickards 2011 Five Sisters Blend Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,J. Rickards
13566,13566,Australia,"Basic Chardonnay—pear, citrus and green apple balanced by vanilla and wood. Lighter, leaner and more food-friendly than many Aussie Chards, finishing with tart acidity.",,84,15.0,Australia Other,South Eastern Australia,,Owen's Estate 1999 Chardonnay (South Eastern Australia),Chardonnay,Owen's Estate
79084,79084,France,"Appetizing notes of ripe Cox Orange Pippin apples, both in their fresh, crunchy state and in a more mellow baked version, characterize the flavors of this wine, with overtones of strawberry and sun-warmed stone. The juicy palate is concentrated and incredibly mouthwatering, with generous ripeness pitched against pure, zesty freshness. It offers concentration, liveliness and purity in one amazing package. Drink now until 2030 at least.",Clos Windsbuhl,94,80.0,Alsace,Alsace,,Domaine Zind-Humbrecht 2014 Clos Windsbuhl Riesling (Alsace),Riesling,Domaine Zind-Humbrecht
46703,46703,US,"Exotic aromas of cranberry, plum, sandalwood, myrrh and lavender makes for an elegant entry to this bottling by the winemaking team of Steve Fennell and Laura Roach. Layered flavors of tart cherry and pomegranate are laced throughout by dried herbs, while the tannic structure is firm but not obtrusive. Drink 2018–2034.",La Rinconada Vineyard Estate Grown,93,70.0,California,Sta. Rita Hills,Central Coast,Sanford 2014 La Rinconada Vineyard Estate Grown Pinot Noir (Sta. Rita Hills),Pinot Noir,Sanford
120087,120087,France,This beautiful wine has great potential. It already shows good balance between the acidity and ripe yellow fruits that are woven into the toasty texture and the spice. The wine will take time to develop but will become impressive. Drink from 2022.,Champ Gain Premier Cru,94,124.0,Burgundy,Puligny-Montrachet,,Domaine Faiveley 2015 Champ Gain Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Faiveley
90709,90709,Italy,"Blackberry jam, menthol, truffle and leather aromas lead the nose while the concentrated, enveloping palates shows black cherry marinated under spirits, licorice and nutmeg. It's already approachable thanks to the juicy fruit and velvety tannins.",Rongalio Riserva,92,45.0,Piedmont,Barbaresco,,Orlando Abrigo 2011 Rongalio Riserva  (Barbaresco),Nebbiolo,Orlando Abrigo
60946,60946,US,"Notable for its soft texture, thoroughly ripe fruit, and richness of mouthfeel, which is what you want in Pinot Noir. It's not an ager, but so deliciously refined, you want to keep drinking. Shows ripe raspberries and cherries, with their liqueur counterparts, and the sweet smokiness of oak.",Sierra Madre Vineyard,93,40.0,California,Santa Maria Valley,Central Coast,Byron 2008 Sierra Madre Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Byron
60898,60898,Italy,"This hearty Rosso opens with earthy tones of leather, tobacco and dried rose petal. The wine's consistency is sharp and defined with uplifting acidity.",,89,22.0,Tuscany,Rosso di Montalcino,,Tenuta Vitanza 2009  Rosso di Montalcino,Sangiovese Grosso,Tenuta Vitanza
1343,1343,US,"Damp chaparral, dried blueberry, beef and pencil lead scents show on the nose of this blend of 54% Grenache, 35% Syrah and 11% Mourvèdre. Rounded blueberry and black plum flavors meet loamy soil, anise, thyme and marjoram spice, with a savory touch of smoke.",Rendition,90,38.0,California,Paso Robles,Central Coast,Écluse 2014 Rendition Red (Paso Robles),Rhône-style Red Blend,Écluse
48391,48391,US,"Shy in the glass, this wine needs more time in bottle to unravel its complexities of rose petal and cardamom, flanked by crisp red cherry and raspberry. Tangy acidity is the star and backbone of the lovely, structured wine, which is delightful now, but worth cellaring through 2023.",Quail Hill Vineyard,94,60.0,California,Russian River Valley,Sonoma,Lynmar 2013 Quail Hill Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Lynmar
65402,65402,Spain,"Reedy, attractive, classy aromas of red fruits, tobacco and fine herbs are like a red carpet entering the gala. The mouth is structured and tannic but not hard or biting; flavors of red berry, plum and cherry lean towards sweet, while the finish is long, medicinal and on the money. Drink now through 2014.",Sirsell,91,30.0,Catalonia,Priorat,,Capafons-Ossó 2006 Sirsell Red (Priorat),Red Blend,Capafons-Ossó
44589,44589,US,"Woody, herbal and resplendent in forest-floor pine and sandalwood, this is a complex, earthy and medium-bodied wine. It's low in oak, and revelatory in cool-climate seductions of pomegranate, cranberry and rhubarb compote. The finish is all black tea, with still-developing tannin structure and power.",Calegari Vineyard,95,58.0,California,Russian River Valley,Sonoma,Williams Selyem 2013 Calegari Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
92688,92688,France,"A blend of Syrah, Grenache and Cabernet Sauvignon, this unwooded red features warm, spicy aromas and flavors of dark fruit, cinnamon, clove and hints of black pepper. Dry and savory on the finish.",,87,16.0,Provence,Coteaux d'Aix-en-Provence,,Château Revelette 2005 Red (Coteaux d'Aix-en-Provence),Red Blend,Château Revelette
36708,36708,Spain,"If you catch this wine young and properly chilled, it isn't that bad. It's very sweet and sugary, with candied melon, mango and citrus flavors. Then it gets more tropical on the finish, with ending notes of banana and mango. On the verge of tasting fake but not quite.",Satinela Medium-Sweet,84,9.0,Northern Spain,Rioja,,Marqués de Cáceres 2007 Satinela Medium-Sweet White (Rioja),White Blend,Marqués de Cáceres
45896,45896,Argentina,Baked raisiny aromas are dominant and suggest overripeness. A heavy palate is rich but lacks flow and ease. Baked berry and raisin flavors are tasty but by now it's obvious that this lacks finesse and is off balance.,Black,86,40.0,Mendoza Province,Mendoza,,Zolo 2012 Black Petit Verdot (Mendoza),Petit Verdot,Zolo
88234,88234,Spain,"Gritty, muscular aromas of charred, smoky black fruits and asphalt give way to a medium-full palate with good acidity. Saucy, savory berry and plum flavors finish with notes of herbs and tobacco. For Rioja crianza, this is more than satisfying.",Crianza,89,15.0,Northern Spain,Rioja,,Bodegas Ontañón 2011 Crianza  (Rioja),Tempranillo-Garnacha,Bodegas Ontañón
15010,15010,US,"Fresh-roasted coffee notes emerge on the nose of this thick, concentrated mountain wine, with a dark dose of toasty oak. Extracted flavors of black, smoky fruit give it heft and full-bodied richness.",,91,80.0,California,Mount Veeder,Napa,VGS Chateau Potelle 2015 Syrah (Mount Veeder),Syrah,VGS Chateau Potelle
55493,55493,Italy,"A blend of Sangiovese, Cabernet Sauvignon and Merlot, this is a compelling and exciting expression of territory. The Tassinaia hill produces a balanced wine with black fruit and some herbal notes backed by spice, toast and a long satisfying finish.",Tassinaia,92,80.0,Tuscany,Toscana,,Castello del Terriccio 2004 Tassinaia Red (Toscana),Red Blend,Castello del Terriccio
126499,126499,US,"You'll love this if you like your Zins sweet and intensely fruity. It shows flavors of chocolate-covered raisins, blackberry jam and savory spices, with high alcohol lending heat. Good with barbecue and beef stew.",,86,34.0,California,Dry Creek Valley,Sonoma,Collier Falls 2009 Zinfandel (Dry Creek Valley),Zinfandel,Collier Falls
49658,49658,US,"Here's a ripe, complex white wine with aromas and flavors ranging from tangerines, apricots and bananas to malted chocolate milk. It tastes very ripe and fruity, with a soft, creamy mouthfeel like peach syrup. There might be just a tad of residual sugar in there, but it's basically a dry wine.",,87,12.0,California,Santa Ynez Valley,Central Coast,Buttonwood Farm 1998 Marsanne (Santa Ynez Valley),Marsanne,Buttonwood Farm
115994,115994,France,"On the rustic side, this fruity wine has rhubarb and red fruit flavors, with intense acidity and a pure, juicy core. The soft tannins just underpin the fruity character. Age for two years, although it's ready to drink now.",Clos du Cellier aux Moines Premier Cru,88,40.0,Burgundy,Givry,,Domaines Devillard 2010 Clos du Cellier aux Moines Premier Cru  (Givry),Pinot Noir,Domaines Devillard
58112,58112,France,"The combination of chalk and flint soils has produced a wine that is young and all about minerality at this stage. It has considerable potential with its hints of ripe fruits. For now, with texture dominant, it is still fresh, tangy and developing. Drink from 2018.",La Chapelle des Augustins,92,30.0,Loire Valley,Sancerre,,Henri Bourgeois 2014 La Chapelle des Augustins  (Sancerre),Sauvignon Blanc,Henri Bourgeois
41221,41221,France,"A fresh, simple wine with an edge of earthiness and flavors of soft caramel and apricot skin. There is a green herbal character leading into the light, crisp finish.",,84,11.0,Loire Valley,Vin de Pays du Val de Loire,,Fournier Père et Fils 2006 Sauvignon Blanc (Vin de Pays du Val de Loire),Sauvignon Blanc,Fournier Père et Fils
85013,85013,US,"This is a densely structured young Cab. Although the tannins are  ripe and sweet, they still possess enough astringency to suggest cellaring. This wine is terrifically rich in black currants and exotic, smoky oak—a big, rich Cab whose impeccable structure defines Oakville. Unfined and unfiltered, it will be best after 2008 and through 2017.",Game Ranch Single Vineyard Selection,96,65.0,California,Oakville,Napa,Goldschmidt 2005 Game Ranch Single Vineyard Selection Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Goldschmidt
77926,77926,Italy,"The nose isn't very expressive, but the palate offers mature blackberry, dried cherry, ground pepper, espresso and anise alonside assertive, astringent tannins. The dried fruit shows the heat of the vintage so best to drink soon.",Greppicante,87,20.0,Tuscany,Bolgheri,,I Greppi 2012 Greppicante  (Bolgheri),Red Blend,I Greppi
21150,21150,US,"Merlot and Cabernet Sauvignon make up most of this blend. Aromas of vanilla, spice and red and black fruit lead to soft-feeling fruit and barrel flavors that put a focus on elegance.",Element,87,36.0,Washington,Wahluke Slope,Columbia Valley,Columbia Winery 2013 Element Red (Wahluke Slope),Red Blend,Columbia Winery
70917,70917,US,"A pretty bottle of Sangiovese in every way—great label, great aromas and bright, cranberry and cherry fruit. From one of Amador County's steady Sangiovese specialists, the Noceto Normale also has pleasing acidity and texture and would be very welcome next to a plate of pasta or pizza or even meats off the grill.",Normale,89,17.0,California,Amador County,Sierra Foothills,Noceto 2008 Normale Sangiovese (Amador County),Sangiovese,Noceto
