,country,description,designation,points,price,province,region_1,region_2,title,variety,winery,town,lat,lng
433,US,"Although this Cab is nearly seven years old, it's still hard and tough in tannins, and the tart acidity suggests it will remain unbalanced for the rest of its life. If you can get past the sharpness, it has dry flavors of blackberries, cherries and currants.",,85,150.0,California,Howell Mountain,Napa,Notre Vin 2003 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Notre Vin,Howell Mountain,38.5813,-122.45109
434,France,"Beautifully crisp and light, this is an ebullient wine that is full of lively red currant and tangerine fruits. There is attractive acidity, a bright aftertaste and plenty of acidity. Drink now.",,88,12.0,Bordeaux,Bordeaux Rosé,,Château de Marsan 2016 Rosé (Bordeaux Rosé),Rosé,Château de Marsan,Bordeaux,44.84044,-0.5805
435,US,"This is a very firm, tight and focused effort, with a clean cherry flavor. It is not at all like most Washington Merlots, which are often heavily influenced by new oak aging. Here is a concise, pure expression that may come across as a little monochromatic, perhaps because it seems to be somewhat shut down at the moment. Made using grapes from 10-year-old vines, it shows great promise.",Stoneridge Vineyard,90,45.0,Washington,Washington,Washington Other,K Vintners 2009 Stoneridge Vineyard Merlot (Washington),Merlot,K Vintners,Washington,40.17396,-80.24617
436,US,"Decant this Zin for an hour or so to bring out its robust and spicy nature. The palate is complex with flavors of wild, briary summer blackberries, plums, cola, dark chocolate, black pepper and oak. Great with beef and tomato dishes.",Morisoli Vineyard,90,37.0,California,Rutherford,Napa,Elyse 2009 Morisoli Vineyard Zinfandel (Rutherford),Zinfandel,Elyse,Walnut Creek,37.891436,-122.040767
440,France,"A strong wood element dominates this wine. It's all toasty and juicy from wood aging rather than fruit. It does have the weight to suggest some fruit for the future, but the wood, with its bite and tang, will always be a strong presence.",Marie Antoinette,86,29.0,Burgundy,Pouilly-Fuissé,,Vincent 2012 Marie Antoinette  (Pouilly-Fuissé),Chardonnay,Vincent,Fuissé,46.28087,4.74286
444,US,"The aromas of lemon, soil and flowers are quite subdued. The flavors are restrained with impressive balance and the variety's often burly tannins well tamed.",Stratus,89,32.0,Washington,Yakima Valley,Columbia Valley,Cloudlift Cellars 2013 Stratus Petite Verdot (Yakima Valley),Petite Verdot,Cloudlift Cellars,Yakima,46.547726,-120.476597
447,Spain,"Roasted and rubbery smelling, this has heavy oak influence that yields notes of mint and shoe. Shearing on the palate despite its body, this has flavors of oak-based vanilla, mint and sweet-and-sour plum. Prieto Picudo is a difficult grape to make into good wine.",El Médico,83,37.0,Northern Spain,Vino de la Tierra de Castilla y León,,Bodegas del Paramo 2009 El Médico Prieto Picudo (Vino de la Tierra de Castilla y León),Prieto Picudo,Bodegas del Paramo,Y,62.16129,-149.85075
450,Italy,"Aromas of underbrush, leather, scorched earth and dark berry lead the nose of this firmly structured blend of Sangiovese, 10% Canaiolo and 5% Mammolo. The chewy palate offers a juicy core of black cherry accented with notes of black pepper, licorice and grilled herb. Tightly knit, ripe tannins provide structure.",Maestro,90,33.0,Tuscany,Vino Nobile di Montepulciano,,Palazzo Vecchio 2012 Maestro  (Vino Nobile di Montepulciano),Red Blend,Palazzo Vecchio,Montepulciano,43.09998,11.78704
453,US,"An estate-grown wine from an Oakville-based producer, this is an opaque, concentrated expression of black fig and gunpowder, girded by sturdy tannin and a richness of black cherry and berry. It reveals the power of the appellation well, and a ripeness of the vintage.",Black Label,92,140.0,California,Oakville,Napa,Turnbull 2013 Black Label Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Turnbull,Antioch,37.96475,-121.814687
458,US,"Soft, sweet and dull, with Life-Saver candy flavors of cherries. Okay in a pinch.",Reserve,82,15.0,California,California,California Other,Cherokee Vineyards 2008 Reserve Merlot (California),Merlot,Cherokee Vineyards,California City,35.125624,-118.021353
461,Italy,"Raspberry jam, leather, moist soil and a balsamic note are some of the aromas you'll find on this. The medium-bodied structured palate offers dark cherry, anise and dried herb set against dusty tannins. Give this a few more years to unwind then enjoy.",Basarin Vigna Gianmatè,90,55.0,Piedmont,Barbaresco,,Giacosa Fratelli 2013 Basarin Vigna Gianmatè  (Barbaresco),Nebbiolo,Giacosa Fratelli,Barbaresco,44.72324,8.08194
462,US,"Pale copper colored, this wine is more focused on mineral than fruit expression, with aromas of wet stone out in front of citrus rind. The medium-bodied flavors dance lightly on the palate but still show concentration, texture and balance.",Edith Grenache Armada Vineyard,90,45.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse 2013 Edith Grenache Armada Vineyard Rosé (Walla Walla Valley (WA)),Rosé,Cayuse,Walla Walla,46.068284,-118.351222
463,Italy,"Engaging aromas of red rose, iris, wild berry, cinnamon and a balsamic note waft out of the glass while juicy cherry, white pepper, anise and chopped mint drive the spicy, polished palate. Firm but refined tannins provide structure. Drink 2017–2021.",Paesi Tuoi,91,60.0,Piedmont,Barolo,,Vite Colte 2011 Paesi Tuoi  (Barolo),Nebbiolo,Vite Colte,Barolo,44.61094,7.94284
478,France,"A solidly structured wine, it is both elegant and intensely powerful. It is disclosing its fruitiness slowly, at the moment dense and concentrated. A restrained edge provides complexity and balance. It will need aging, so don't drink before 2022.",,95,550.0,Bordeaux,Margaux,,Château Margaux 2011  Margaux,Bordeaux-style Red Blend,Château Margaux,Bordeaux,44.84044,-0.5805
480,Italy,"Scents of wild berry, fragrant blue flower, tilled soil, new leather and a whiff of Mediterranean herb lead the nose on this fantastic wine. Rich layers of juicy black cherry, fleshy raspberry, cinnamon, licorice and mint weave throughout the palate while firm but refined tannins provide structure. Drink 2019–2029.",,95,50.0,Tuscany,Brunello di Montalcino,,Capanna 2011  Brunello di Montalcino,Sangiovese,Capanna,Montalcino,43.05397,11.48853
484,France,"Densely textured, this has firm and dark tannins. Powerful notes of rich berry and stone fruit give weight to this concentrated wine. This needs time to age.",,88,12.0,Bordeaux,Bordeaux,,Château Turcaud 2010  Bordeaux,Bordeaux-style Red Blend,Château Turcaud,Bordeaux,44.84044,-0.5805
487,Italy,"Aromas of underbrush, baked earth, espresso and dried berry lead the nose along with a whiff of blue flowers. The straightforward palate offers mature black cherry, licorice and a hint of clove alongside fresh acidity.",Rié,87,17.0,Piedmont,Barbera d'Alba Superiore,,Giribaldi 2012 Rié  (Barbera d'Alba Superiore),Barbera,Giribaldi,Superiore,44.46006,7.10425
489,Australia,"A lively, medium-bodied dry red for casual meals, this is a good example of Australian Sangiovese. Red berry fruit is backed by crisp acids and firmish tannins, making this a good candidate to pair with burgers or pizza. It's 85% Sangiovese, with the balance Merlot and Shiraz.",The Mongrel Sangiovese Blend,87,18.0,South Australia,McLaren Vale,,Hugh Hamilton 2009 The Mongrel Sangiovese Blend Sangiovese (McLaren Vale),Sangiovese,Hugh Hamilton,McLaren Vale,-35.2309734,138.5614081
490,US,"A warm site first planted in 1913 in the heart of the appellation, this vineyard also holds Cabernet Sauvignon and Petite Sirah. This wine is hearty and deceptively elegant, mixing flavors and aromas of rum raisin, leather and clove. Gentle tannins wrap around a finishing brightness of red and black berry.",Varozza Vineyard,92,50.0,California,St. Helena,Napa,Robert Biale 2014 Varozza Vineyard Zinfandel (St. Helena),Zinfandel,Robert Biale,Saint Helena,38.50519,-122.47026
491,US,"Very jammy on the nose with fig and blackberry, this bottling of all the primary Bordeaux grapes except Cabernet Franc also shows aromatic hints of maple and bacon fat. It's very full on the sip, with chalky, mouthcoating tannins and flavors of black cherry, cola and cocoa.",Rhapsody Reserve,89,47.0,California,Paso Robles,Central Coast,Opolo 2013 Rhapsody Reserve Meritage (Paso Robles),Meritage,Opolo,Paso Robles,35.62664,-120.691
495,US,"Pollen, candle wax, citrus cream and blanched almonds mark the nose of this single variety white. The rich, broad palate carries notes of charred pineapple and toasted meringue, balanced by a lively river of citrus. This is a perfect white to enjoy when there's a slight chill in the air.",,87,24.0,Texas,Texas High Plains,,Arché 2012 Roussanne (Texas High Plains),Roussanne,Arché,Plains,33.18871,-102.82799
497,Argentina,"Cola and minty, herbal aromas come with raw oak and gritty, baked berry scents. This is rugged, tannic and grabby on the palate, with heavy wood resin flavors heaped atop blackberry and plum. Woodspice and heat drive the finish.",Colección,87,18.0,Mendoza Province,Mendoza,,Gardel 2012 Colección Bonarda (Mendoza),Bonarda,Gardel,Distrito Ugarteche,-33.2290966,-68.8948913
498,Italy,"Aromas of leather, underbrush, ripe red berry and eucalyptus lead the nose on this structured wine. The delicious palate delivers juicy black cherry, crushed raspberry, baking spice and savory herb alongside big, chewy tannins. It ends on a succulent note. Drink 2016–2024.",Bussia,92,55.0,Piedmont,Barolo,,Tenimenti Famiglia Cavallero 2009 Bussia  (Barolo),Nebbiolo,Tenimenti Famiglia Cavallero,Barolo,44.61094,7.94284
500,Italy,"This leads with blue flower, camphor, crushed herb and red berry aromas. Firmly structured and linear, the palate delivers succulent red cherry, crushed strawberry, cinnamon and star anise flavors supported by a backbone of vibrant acidity and firm, refined tannins. Drink 2022–2032.",Pian Cavallo,92,48.0,Piedmont,Barbaresco,,Negro Giuseppe 2014 Pian Cavallo  (Barbaresco),Nebbiolo,Negro Giuseppe,Barbaresco,44.72324,8.08194
506,US,"Fresh cranberry and black raspberry show on the nose of this bottling that also offers black-pepper sauce, savory soy and a touch of iodine. There's a tarry tension to the palate, but with tart dark cranberry and richer dark cherry flavors as well, mixing up the savory smoke with dense fruit.",Julia's Vineyard,94,65.0,California,Santa Maria Valley,Central Coast,Foxen 2014 Julia's Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Foxen,Santa Maria,34.878189,-120.452242
507,France,"This perfumed, smoky wine is gently wood aged and offers layers of tannin and black cherry fruits. It is still young and dense, dark and dry, with piercing acidity. It is concentrated, firm and needs time. Drink from 2019.",,94,312.0,Burgundy,Clos de Vougeot,,Roche de Bellene 2012  Clos de Vougeot,Pinot Noir,Roche de Bellene,Vougeot,47.1771,4.96399
515,France,"This open and generous wine is attractive and ready to drink. White peach and pear flavors give it great fruitiness without losing sight of acidity. It's fruity, softly textured and just right now.",,86,16.0,Burgundy,Mâcon-Lugny,,Joseph Drouhin 2012  Mâcon-Lugny,Chardonnay,Joseph Drouhin,Lugny,46.47217,4.80995
519,Spain,"Bready, oxidized aromas are imprecise and lacking in fruit. This is a blend of Palomino, Rufete Blanca and Moscatel from Salamanca, which is off the beaten path. A plump but flat palate of yeasty white-fruit flavors lacks zest on a fading finish. Drink now.",Teso Blanco,84,22.0,Central Spain,Sierra de Salamanca,,La Zorra 2014 Teso Blanco White (Sierra de Salamanca),White Blend,La Zorra,Central,42.46721,0.99117
532,US,"A pretty, perfumed Pinot Noir, with gorgeous streaks of kir and vibrant blackberry and cherry. It's subtle and structured, with a pronounced layer of earthy forest floor on the finish. With sprinklings of spice, it dazzles from beginning to end.",Weir Vineyard,96,58.0,California,Yorkville Highlands,North Coast,Williams Selyem 2011 Weir Vineyard Pinot Noir (Yorkville Highlands),Pinot Noir,Williams Selyem,Highlands,37.51994,-122.34386
535,Australia,"Made by Reid Bosward of Kaesler, this is a chance to taste his handiwork at a reasonable price. The wine delivers plummy, meaty, slightly herbal aromas, then turns more savory on the palate, suggesting mixed olives. In a word, it's complex. Tannins are supple without being too soft, while the finish is long and lush, concealing the wine's 15.3% alcohol amazingly well.",,89,17.0,South Australia,Langhorne Creek,,Winner's Tank 2007 Shiraz (Langhorne Creek),Shiraz,Winner's Tank,Langhorne Creek,-35.29596,139.03591
536,France,"Only two acres in size, this southeast facing vineyard has produced a ripe, spicy wine. Soft peach and pineapple flavors are rich and opulent. A tang of acidity over the wood aging gives the wine shape. It is still young, so don't drink before 2018.",Vers Châne,92,40.0,Burgundy,Pouilly-Fuissé,,Château de Lavernette 2013 Vers Châne  (Pouilly-Fuissé),Chardonnay,Château de Lavernette,Fuissé,46.28087,4.74286
537,US,"Rough-hewn and tannic in youth, this blend of one-third each Cabernet Sauvignon, Cabernet Franc and Merlot isn't showing much accessibility. It's astringently closed, but very ripe and sweet in blackberries, cherries and cedar. Give it five years in the cellar.",Terzetto,90,75.0,California,Napa Valley,Napa,Volker Eisele Family Estate 2007 Terzetto Red (Napa Valley),Bordeaux-style Red Blend,Volker Eisele Family Estate,California City,35.113893,-117.982087
550,US,"From a superior block at the Red Willow vineyard, this pure Syrah was aged in 100% new French oak. It's concentrated and tangy, with wild berry fruit streaked with oolong tea, licorice, dark chocolate and coffee liqueur.",Red Willow Chapel Block,91,45.0,Washington,Yakima Valley,Columbia Valley,Barrage Cellars 2010 Red Willow Chapel Block Syrah (Yakima Valley),Syrah,Barrage Cellars,Yakima,46.547726,-120.476597
552,US,"Incredibly rich blackberry-jam aromas meet with licorice, smoked beef and black rocks on the continually evolving and dynamic nose of this bottling from Paso Robles' west side. It's rich, juicy and expertly structured on the palate, where blackberry fruit meets with pencil-lead minerality and light espresso flavors. The tannic grip is solid and the acidity is strong, ensuring long ageability.",,93,42.0,California,Paso Robles Willow Creek District,Central Coast,Dunning Vineyards 2013 Cabernet Sauvignon (Paso Robles Willow Creek District),Cabernet Sauvignon,Dunning Vineyards,Santa Margarita,35.303644,-120.373697
553,US,"At more than six years of age, this 100% Cabernet is dropping its primary blackberry fruit flavors, revealing its underlying flaws. It remains severely dry, acidic and tannic, with mushrooms emerging, while high alcohol gives it a bite of heat.",Saunders Vineyard,85,36.0,California,Carmel Valley,Central Coast,Boëté 2007 Saunders Vineyard Cabernet Sauvignon (Carmel Valley),Cabernet Sauvignon,Boëté,Carmel Valley,36.47968,-121.73245
558,US,"Exceptionally rich, a Pinot Noir that tastes dramatic from the get go. It's full-bodied, dry and velvety, with complex flavors of berries, pomegranates, cherries, cola, currants, mushrooms and spices. The firm tannins and crisp acids suggest ageability over the next six years.",Bien Nacido Vineyard Block 8,92,56.0,California,Santa Maria Valley,Central Coast,Foxen 2009 Bien Nacido Vineyard Block 8 Pinot Noir (Santa Maria Valley),Pinot Noir,Foxen,Santa Maria,34.878189,-120.452242
560,US,"A touch of vanilla, butter and seared lemons characterize the nose of this wine that also shows pears and apples, making it a solid Chardonnay alternative. The palate offers a hint of marzipan along with juicy lemon pulp and zest as well as richer stone-fruit elements in the midpalate.",,88,28.0,California,Santa Barbara County,Central Coast,Fess Parker 2013 Viognier (Santa Barbara County),Viognier,Fess Parker,Santa Barbara,34.415361,-119.693591
566,US,Not much going on in this off-dry wine. It has very thin flavors of vanilla and pineapples.,Vineyard Select,82,9.0,California,California,California Other,Baywood 2006 Vineyard Select Symphony (California),Symphony,Baywood,Aliso Viejo,33.592347,-117.7217666
568,France,"A small part of Château Peyrabon (Haut-Médoc) is in the Pauillac appellation and is vinified and bottled separately. The wine delivers great fruit and equal richness. It is spice, packed with black plum and berry flavors. It is a powerful dense wine to age for several years. Drink from 2023.",,92,29.0,Bordeaux,Pauillac,,Château La Fleur Peyrabon 2014  Pauillac,Bordeaux-style Red Blend,Château La Fleur Peyrabon,Bordeaux,44.84044,-0.5805
570,US,"Pure Merlot from the Red Willow vineyard, this does not skimp on the scents and flavors of green herb. It's true to the vineyard's style and will require further bottle age to flesh out a bit and show its best strengths.",A.K.A.,87,28.0,Washington,Yakima Valley,Columbia Valley,Barrage Cellars 2010 A.K.A. Merlot (Yakima Valley),Merlot,Barrage Cellars,Yakima,46.547726,-120.476597
576,US,"Cut lime and nectarine flesh meet with orange oil on a lean and focused nose in this wine by Paso pioneer Gary Eberle. The palate is framed by racy acidity, with clean, crisp flavors of lime juice and green pear. The salty finish is mouthwatering.",Eberle Estate Vineyard,88,22.0,California,Paso Robles,Central Coast,Eberle 2014 Eberle Estate Vineyard Chardonnay (Paso Robles),Chardonnay,Eberle,Paso Robles,35.6497854,-120.6281223
577,US,"This wine is big and beefy, full bodied and packed with meaty, spicy, cedary aromas and flavors that are well matched to its bold structure. Made from Spanish grape varieties, it has a fun bold flavor profile, good and grippy tannins and very good balance for a wine this powerful.",Paradiso,90,38.0,California,California,California Other,Dante Robere NV Paradiso Red (California),Red Blend,Dante Robere,California City,35.125624,-118.021353
579,France,"This is Gremillet's prestige cuvée, made as a Chardonnay Blanc de Blancs. It's rich, creamy and mineral-textured with a steely, chalky edge. Great acidity is layered with the fruitiness of this now-mature wine. Ready to drink, it's lively and crisp.",Cuvée Evidence Brut,91,59.0,Champagne,Champagne,,Gremillet NV Cuvée Evidence Brut Chardonnay (Champagne),Chardonnay,Gremillet,Champagné,48.02185,0.33096
582,US,"Hats off to Beaulieu for producing a Pinot Noir this good. The wine is dry, silky and crisp in acidity, with cherry, cola, spice and sandalwood flavors. With more than 100,000 cases released, this should be relatively easy to find.",Coastal Estates,86,11.0,California,California,California Other,Beaulieu Vineyard 2010 Coastal Estates Pinot Noir (California),Pinot Noir,Beaulieu Vineyard,California City,35.125624,-118.021353
583,US,"Run, don't walk, to find this Sauvignon Blanc. It's delicious, and available for such a great price! The palate treads an exciting line between ripe peach, citrus, green apple and honey flavors, and a tangy, flinty minerality. The acidity is mouthwatering. Only 550 cases were produced, but it's worth a search.",Nelson Vineyards,91,16.0,California,Dry Creek Valley,Sonoma,El Roy 2012 Nelson Vineyards Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,El Roy,California City,35.133265,-117.945277
587,Italy,"Here's an oak-driven Brunello that needs time to evolve—give it five years or more. Glimmers of bright fruit emerge despite the presence of toasted almond, cedar wood and vanilla extract. The wine is concentrated with soft tannins and a lovely rich feel in the mouth.",,92,40.0,Tuscany,Brunello di Montalcino,,Mocali 2007  Brunello di Montalcino,Sangiovese Grosso,Mocali,Montalcino,43.05397,11.48853
589,France,"Tight green apple and citrus acidity dominates this wine. It is very crisp, at this stage too crisp, and the structure is on the lean side. It certainly reflects the cool growing conditions of 2007.",Côte de Léchet Premier Cru,85,47.0,Burgundy,Chablis,,Domaine Pommier 2007 Côte de Léchet Premier Cru  (Chablis),Chardonnay,Domaine Pommier,Chablis,47.81386,3.79835
592,US,"This is brimming with the tropical fruit, vanilla and honeysuckle flavors typical of Viognier. Dry and elegant, it is ripe, but shows the acidity from the cool 2010 vintage.",Birdsong,91,20.0,California,Happy Canyon of Santa Barbara,Central Coast,Vogelzang 2010 Birdsong Viognier (Happy Canyon of Santa Barbara),Viognier,Vogelzang,Santee,32.837117,-116.97364
594,US,"Production was 10,000 cases, amazing when you consider how good this mountain wine is. Immediately drinkable for the soft purity of the tannins and complex cassis, chocolate and oak flavors, it has the sturdy structure to develop for some years, but is best now for its elegant purity. Hess is on a real Cabernet roll, and is one of Napa's overlooked stars.",Estate Grown,92,50.0,California,Mount Veeder,Napa,Hess Collection 2004 Estate Grown Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Hess Collection,Kernville,35.755511,-118.429804
597,Italy,"Aromas of baked plum, chopped mint, espresso and toasted oak lead the nose. The chewy palate doles out cherries marinated in spirits, raspberry jam, star anise, mocha and white pepper alongside big, velvety tannins. It's already extremely accessible and while it's not loaded with complexity, it is hearty and delicious. Drink 2017–2022.",Ciliegio,90,140.0,Tuscany,Brunello di Montalcino,,La Magia 2011 Ciliegio  (Brunello di Montalcino),Sangiovese,La Magia,Montalcino,43.05397,11.48853
598,Italy,"Wild flowers, stone fruit and citrus mark the nose of this very characteristic Prosecco bubbly. Pretty mineral notes fill in the background and the wine manages to be drying in the mouth and slightly sweet at the same time. This sparkler shows a deft hand when it comes to elegance and balance.",Particella 68 Extra Dry,90,24.0,Veneto,Prosecco di Valdobbiadene,,Sorelle Bronca NV Particella 68 Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Sorelle Bronca,Valdobbiadene,45.89689,11.98245
599,US,"Muted aromas of red currant, raspberry and baking spice comes forth more on the structured palate. Flavors also evoke something woody and tobacco like, with hints of cinnamon.",Boxwood,86,29.0,Virginia,Middleburg,,Boxwood 2014 Boxwood Red (Middleburg),Bordeaux-style Red Blend,Boxwood,Ashburn,39.062232,-77.483747
603,US,"It's hard to find any Tannat in California— let alone good Tannat—and Sobon has done a nice job here, combining leather and boysenberry fruit to good effect. In the back layers is a trace of menthol.",ReZerve,87,24.0,California,Lodi,Central Valley,Sobon Estate 2010 ReZerve Tannat (Lodi),Tannat,Sobon Estate,Lodi,38.1302,-121.27245
606,US,"This is stiff and herbal, both in scents and flavors. There's a strong streak of earth dampening the light cranberry fruit. The aging in two third new French oak adds a bit of chocolate to the finish.",Latitude 45,86,35.0,Oregon,Willamette Valley,Willamette Valley,Left Coast Cellars 2011 Latitude 45 Pinot Noir (Willamette Valley),Pinot Noir,Left Coast Cellars,West Linn,45.349809,-122.676436
607,US,"An ode to the founding fathers, this bottling is quite tight on the nose, with lime skin, lime blossom and Meyer-lemon juice aromas. The palate offers apple skins, crisp apple flesh, lemon-tinged butter, grapefruit zest and a shaving of vanilla.",,86,18.0,California,Santa Barbara County,Central Coast,The Federalist 2014 Chardonnay (Santa Barbara County),Chardonnay,The Federalist,California City,35.214402,-117.779832
610,US,"Blackberry, tobacco, dark chocolate, currant and spice flavors mark this dry, tannic blend. It has furry tannins and a briary mouthfeel that make it somewhat rustic. Give it a long decant before drinking now.",Nobile,87,45.0,California,Dry Creek Valley,Sonoma,Montemaggiore 2009 Nobile Cabernet Sauvignon-Syrah (Dry Creek Valley),Cabernet Sauvignon-Syrah,Montemaggiore,California Hot Springs,35.869574,-118.635946
612,Italy,"This straightforward red has aromas of woodland berries and violets. The simple palate offers up sour cherry, a hint of grilled herb and a saline note alongside brisk acidity and angular tannins.",,86,29.0,Tuscany,Rosso di Montalcino,,Carillon 2014  Rosso di Montalcino,Sangiovese,Carillon,Montalcino,43.05397,11.48853
623,France,"A concentrated wine from 40-year-old vines, this is rich and dense. It has a balance between the juicy black fruits and firm tannins, the whole shot through with acidity. Drink this fine single vineyard wine from 2019.",Closerie des Alisiers Les Champs Rémy,92,52.0,Burgundy,Gevrey-Chambertin,,Maison Stéphane Brocard 2014 Closerie des Alisiers Les Champs Rémy  (Gevrey-Chambertin),Pinot Noir,Maison Stéphane Brocard,Gevrey-Chambertin,47.22614,4.96806
632,France,This beautiful wine has great potential. It already shows good balance between the acidity and ripe yellow fruits that are woven into the toasty texture and the spice. The wine will take time to develop but will become impressive. Drink from 2022.,Champ Gain Premier Cru,94,124.0,Burgundy,Puligny-Montrachet,,Domaine Faiveley 2015 Champ Gain Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Faiveley,Puligny-Montrachet,46.94619,4.75297
633,Italy,"Blackberry jam, menthol, truffle and leather aromas lead the nose while the concentrated, enveloping palates shows black cherry marinated under spirits, licorice and nutmeg. It's already approachable thanks to the juicy fruit and velvety tannins.",Rongalio Riserva,92,45.0,Piedmont,Barbaresco,,Orlando Abrigo 2011 Rongalio Riserva  (Barbaresco),Nebbiolo,Orlando Abrigo,Barbaresco,44.72324,8.08194
635,Italy,"This hearty Rosso opens with earthy tones of leather, tobacco and dried rose petal. The wine's consistency is sharp and defined with uplifting acidity.",,89,22.0,Tuscany,Rosso di Montalcino,,Tenuta Vitanza 2009  Rosso di Montalcino,Sangiovese Grosso,Tenuta Vitanza,Montalcino,43.05397,11.48853
636,US,"Damp chaparral, dried blueberry, beef and pencil lead scents show on the nose of this blend of 54% Grenache, 35% Syrah and 11% Mourvèdre. Rounded blueberry and black plum flavors meet loamy soil, anise, thyme and marjoram spice, with a savory touch of smoke.",Rendition,90,38.0,California,Paso Robles,Central Coast,Écluse 2014 Rendition Red (Paso Robles),Rhône-style Red Blend,Écluse,Paso Robles,35.62664,-120.691
644,US,"Fresh-roasted coffee notes emerge on the nose of this thick, concentrated mountain wine, with a dark dose of toasty oak. Extracted flavors of black, smoky fruit give it heft and full-bodied richness.",,91,80.0,California,Mount Veeder,Napa,VGS Chateau Potelle 2015 Syrah (Mount Veeder),Syrah,VGS Chateau Potelle,Kernville,35.755511,-118.429804
645,Italy,"A blend of Sangiovese, Cabernet Sauvignon and Merlot, this is a compelling and exciting expression of territory. The Tassinaia hill produces a balanced wine with black fruit and some herbal notes backed by spice, toast and a long satisfying finish.",Tassinaia,92,80.0,Tuscany,Toscana,,Castello del Terriccio 2004 Tassinaia Red (Toscana),Red Blend,Castello del Terriccio,Terriccio,43.38207,10.54147
646,US,"You'll love this if you like your Zins sweet and intensely fruity. It shows flavors of chocolate-covered raisins, blackberry jam and savory spices, with high alcohol lending heat. Good with barbecue and beef stew.",,86,34.0,California,Dry Creek Valley,Sonoma,Collier Falls 2009 Zinfandel (Dry Creek Valley),Zinfandel,Collier Falls,California Hot Springs,35.869574,-118.635946
648,France,"On the rustic side, this fruity wine has rhubarb and red fruit flavors, with intense acidity and a pure, juicy core. The soft tannins just underpin the fruity character. Age for two years, although it's ready to drink now.",Clos du Cellier aux Moines Premier Cru,88,40.0,Burgundy,Givry,,Domaines Devillard 2010 Clos du Cellier aux Moines Premier Cru  (Givry),Pinot Noir,Domaines Devillard,Givry,46.78202,4.74262
651,US,"This is a densely structured young Cab. Although the tannins are  ripe and sweet, they still possess enough astringency to suggest cellaring. This wine is terrifically rich in black currants and exotic, smoky oak—a big, rich Cab whose impeccable structure defines Oakville. Unfined and unfiltered, it will be best after 2008 and through 2017.",Game Ranch Single Vineyard Selection,96,65.0,California,Oakville,Napa,Goldschmidt 2005 Game Ranch Single Vineyard Selection Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Goldschmidt,Oakville,38.437887,-122.399101
652,Italy,"The nose isn't very expressive, but the palate offers mature blackberry, dried cherry, ground pepper, espresso and anise alonside assertive, astringent tannins. The dried fruit shows the heat of the vintage so best to drink soon.",Greppicante,87,20.0,Tuscany,Bolgheri,,I Greppi 2012 Greppicante  (Bolgheri),Red Blend,I Greppi,Bolgheri,43.23391,10.6194
658,Italy,"Heady scents of forest floor, ripe berry, fragrant blue flower, grilled herb and a whiff of eucalyptus emerge on this superb wine. The elegantly structured palate offers juicy wild cherry, black raspberry, star anise, mint and baking spice while well-integrated tannins provide the framework. Balanced and already approachable, it also shows good mid-term aging potential. Drink through 2026.",,95,74.0,Tuscany,Brunello di Montalcino,,Conti Costanti 2011  Brunello di Montalcino,Sangiovese,Conti Costanti,Montalcino,43.05397,11.48853
666,US,"Reductive aromas distract from the fruit and barrel notes in this wine. The palate brings medium-bodied, mouth-puckering cranberry and cherry flavors. Vanilla notes linger on the finish.",Falcon Series Estate,85,25.0,Washington,Yakima Valley,Columbia Valley,Kestrel 2013 Falcon Series Estate Sangiovese (Yakima Valley),Sangiovese,Kestrel,Yakima,46.547726,-120.476597
670,US,"Vanilla, black-cherry soda and a berry crème brûlée character combine for a very playful and fun nose on this bottling. The palate tightens up that fun a bit but stays sexy, offering dark chocolate, red-berry jam and a shred of mint.",Soul Shaker Cass Vineyard,90,64.0,California,Paso Robles,Central Coast,Ascension Cellars 2012 Soul Shaker Cass Vineyard Red (Paso Robles),Bordeaux-style Red Blend,Ascension Cellars,Paso Robles,35.62664,-120.691
671,Italy,"Many 2000 Barolos are showing signs of retreating into their shells, none more so than this. This was initially very dumb, and only after a good deal of swirling and plenty of time in the glass did it begin to show anything. At last, dark fruit,  earth, rose petal and road tar began to emerge. On the palate it was tannic and again took its time to open, but again it showed some complexity, with a medium finish. A wine that needs a decade in the cellar.",Vigneto Boscareto,90,79.0,Piedmont,Barolo,,Beni di Batasiolo 2000 Vigneto Boscareto  (Barolo),Nebbiolo,Beni di Batasiolo,Barolo,44.61094,7.94284
680,US,"Good and dry, with a firm scour of acidity and an earthiness to the pineapples and pears. This is a fine everyday Chardonnay at a fair price.",,85,11.0,California,California,California Other,Gnarly Head 2009 Chardonnay (California),Chardonnay,Gnarly Head,California City,35.125624,-118.021353
695,US,"Ultra-ripe, this Cab is decadently tasty, but not really dry. It's almost as gooey soft and sweet as a dessert pastry, with flavors of pie crust, chocolate pudding, sweet blackberry jam, currants and licorice. Drink now.",,87,60.0,California,Napa Valley,Napa,Brookman 2005 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Brookman,California City,35.118428,-117.936089
